segmento_negocio,prioridad_consumo,categoria,producto_generico,proveedor,marca,ranking_compra,codigo_sku,descripcion,presentacion,tipo_envase,unidades_por_pack,costo_pack_neto,costo_unidad_neto,precio_venta_neto,margen_clp,margen_pct,mercado_min,mercado_max,holgura_mercado,pct_min_mercado,pct_max_mercado,rubro,aplicacion
Concesionarios,2,Lubricante,5W30 sintetico,Vistony,Vistony,1,1000544,CAJ04 ATTOM S320 SAE 5W-30 ACEA C3/API SN DE 5 L,5 L,Bidon,4,70224,17556,22823,5267,0.2307692307692308,28000.0,42000.0,14000.0,-0.22683258116811977,-0.8402488717521799,Concesionarios,liviano
Talleres,1,Lubricante,5W30 sintetico,Vistony,Vistony,1,1000544,CAJ04 ATTOM S320 SAE 5W-30 ACEA C3/API SN DE 5 L,5 L,Bidon,4,70224,17556,22823,5267,0.2307692307692308,28000.0,42000.0,14000.0,-0.22683258116811977,-0.8402488717521799,Talleres,liviano
Concesionarios,2,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,2,1200009,CAJ06 LIQUIDO PARA RADIADOR VERDE DE 1 GAL,1 GAL,Galon,6,12203,2034,2644,610,0.2307692307692308,12000.0,16000.0,4000.0,-3.5385779122541603,-5.05143721633888,Concesionarios,liviano
Talleres,1,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,2,1200009,CAJ06 LIQUIDO PARA RADIADOR VERDE DE 1 GAL,1 GAL,Galon,6,12203,2034,2644,610,0.2307692307692308,12000.0,16000.0,4000.0,-3.5385779122541603,-5.05143721633888,Talleres,liviano
Construccion (agro),2,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,2,1200009,CAJ06 LIQUIDO PARA RADIADOR VERDE DE 1 GAL,1 GAL,Galon,6,12203,2034,2644,610,0.2307692307692308,12000.0,16000.0,4000.0,-3.5385779122541603,-5.05143721633888,Agricola,liviano
Concesionarios,2,Lubricante,10W40 semisintetico,Vistony,Vistony,4,1000560,CAJ04 SINTEK OIL S 210 SAE 10W40 ACEA A3/B4 - API SN DE 4L,4 L,Galon,4,54139,13534,17595,4060,0.2307692307692307,18000.0,24000.0,6000.0,-0.023017902813299296,-0.3640238704177323,Concesionarios,liviano
Talleres,1,Lubricante,10W40 semisintetico,Vistony,Vistony,4,1000560,CAJ04 SINTEK OIL S 210 SAE 10W40 ACEA A3/B4 - API SN DE 4L,4 L,Galon,4,54139,13534,17595,4060,0.2307692307692307,18000.0,24000.0,6000.0,-0.023017902813299296,-0.3640238704177323,Talleres,liviano
Concesionarios,2,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,6,1200105,CAJ06 COOLANT ICE FREEZE ORGANIC (OAT) 50/50 GREEN - 5 IDIOMAS DE 4L,4 L,Galon,6,43722,7287,9473,2186,0.2307692307692307,12000.0,16000.0,4000.0,-0.26675815475562126,-0.6890108730074951,Concesionarios,liviano
Talleres,1,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,6,1200105,CAJ06 COOLANT ICE FREEZE ORGANIC (OAT) 50/50 GREEN - 5 IDIOMAS DE 4L,4 L,Galon,6,43722,7287,9473,2186,0.2307692307692307,12000.0,16000.0,4000.0,-0.26675815475562126,-0.6890108730074951,Talleres,liviano
Construccion (agro),2,Refrigerante/Aditivo Diesel,Refrigerante verde convencional,Vistony,Vistony,6,1200105,CAJ06 COOLANT ICE FREEZE ORGANIC (OAT) 50/50 GREEN - 5 IDIOMAS DE 4L,4 L,Galon,6,43722,7287,9473,2186,0.2307692307692307,12000.0,16000.0,4000.0,-0.26675815475562126,-0.6890108730074951,Agricola,liviano
